temperature,humidity,pressure,wind_speed,vibration
23.1,45.2,1013.2,5.4,0.12
22.8,46.1,1012.8,5.1,0.11
24.0,44.5,1014.0,6.2,0.15
23.5,45.8,1013.5,5.7,0.13
22.3,47.0,1012.0,4.8,0.10
23.9,44.9,1013.9,6.0,0.14
22.6,46.5,1012.5,5.0,0.11
24.2,43.8,1014.3,6.5,0.16
23.3,45.5,1013.3,5.5,0.12
22.0,47.2,1011.8,4.5,0.09
23.7,45.0,1013.7,5.9,0.14
22.4,46.8,1012.2,4.9,0.10
24.5,43.5,1014.5,6.8,0.17
23.0,45.9,1013.0,5.3,0.12
22.7,46.3,1012.6,5.0,0.11
23.8,44.7,1013.8,6.1,0.15
22.2,47.1,1011.9,4.6,0.09
24.3,43.6,1014.4,6.6,0.16
23.4,45.6,1013.4,5.6,0.13
22.9,46.0,1012.9,5.2,0.11
23.6,44.8,1013.6,5.8,0.14
22.1,47.3,1011.7,4.4,0.09
24.1,43.9,1014.1,6.3,0.15
23.2,45.4,1013.1,5.4,0.12
22.5,46.6,1012.4,4.9,0.10
24.4,43.4,1014.6,6.7,0.17
23.1,45.3,1013.2,5.4,0.12
22.8,46.2,1012.7,5.1,0.11
23.9,44.6,1013.9,6.1,0.15
22.3,47.0,1012.1,4.7,0.10
24.0,44.0,1014.0,6.4,0.16
23.5,45.7,1013.5,5.6,0.13
22.6,46.4,1012.5,5.0,0.11
23.7,44.9,1013.7,5.9,0.14
22.0,47.4,1011.6,4.3,0.08
24.2,43.7,1014.2,6.5,0.16
23.3,45.5,1013.3,5.5,0.12
22.4,46.7,1012.3,4.9,0.10
23.8,44.8,1013.8,6.0,0.14
22.7,46.1,1012.6,5.0,0.11
23.0,45.9,1013.0,5.3,0.12
24.5,43.3,1014.7,6.9,0.18
22.9,46.0,1012.8,5.2,0.11
23.6,44.7,1013.6,5.8,0.14
22.2,47.2,1011.8,4.5,0.09
24.3,43.5,1014.4,6.6,0.16
23.4,45.6,1013.4,5.6,0.13
22.1,47.3,1011.7,4.4,0.09
24.1,44.0,1014.1,6.3,0.15
23.2,45.3,1013.2,5.5,0.12
